#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
194,Kerry Carpenter,DET,95,421,20,53,60,2,6.60%,23.80%,0.219,0.289,0.253,0.31,0.472,0.334,114,-0.7,6.4,-9.2,1.2
195,Mark Vientos,NYM,103,432,20,53,60,1,7.50%,26.00%,0.208,0.294,0.248,0.31,0.456,0.33,115,-1.2,6.4,-9.3,1.2
196,Gavin Lux,TBR,88,389,6,43,33,3,10.40%,22.00%,0.114,0.315,0.25,0.331,0.364,0.309,97,-0.4,-2,0,1.2
197,Spencer Torkelson,DET,136,576,24,68,73,2,11.00%,26.30%,0.197,0.274,0.228,0.32,0.425,0.322,106,-0.6,3.7,-12.1,1.2
198,Kyle Manzardo,CLE,96,413,19,51,58,2,10.20%,23.80%,0.216,0.267,0.236,0.321,0.452,0.333,115,-0.6,6.8,-9.6,1.2
199,Connor Norby,MIA,114,451,13,49,50,8,7.40%,27.10%,0.155,0.308,0.241,0.303,0.397,0.305,93,-0.6,-4.2,0.5,1.2
200,Ramón Laureano,SDP,107,441,17,50,54,7,7.10%,27.10%,0.183,0.302,0.243,0.307,0.426,0.317,107,-0.7,2.8,-6.2,1.2
201,Jac Caglianone,KCR,87,361,16,44,49,2,7.60%,21.10%,0.198,0.286,0.256,0.32,0.454,0.333,111,-0.4,4.1,-5.3,1.2
202,Jordan Lawlar,ARI,86,336,7,38,36,10,8.80%,25.50%,0.144,0.312,0.242,0.316,0.387,0.308,96,0.5,-1.3,1.2,1.1
203,Christian Walker,HOU,123,523,24,63,71,3,8.50%,26.20%,0.2,0.269,0.23,0.304,0.429,0.317,103,-1.3,0.9,-7.9,1.1
204,Ke'Bryan Hayes,CIN,108,424,8,44,42,9,6.90%,20.20%,0.119,0.296,0.249,0.304,0.368,0.295,82,0.4,-8.4,5.3,1.1
205,Josh Bell,MIN,111,485,18,58,62,2,10.40%,19.00%,0.177,0.28,0.252,0.335,0.429,0.332,113,-1.8,5.5,-11.3,1.1
206,Victor Scott II,STL,110,417,7,44,37,26,8.00%,21.90%,0.101,0.28,0.227,0.298,0.328,0.28,79,2.6,-7.6,4.5,1.1
207,Dylan Beavers,BAL,75,312,9,37,35,8,12.20%,23.10%,0.156,0.296,0.243,0.339,0.399,0.325,110,-0.1,3.7,-3.7,1.1
208,Danny Jansen,TEX,80,307,12,37,36,1,10.60%,22.90%,0.181,0.253,0.221,0.314,0.403,0.314,102,-0.8,0,4.6,1.1
209,Jesús Sánchez,TOR,88,369,13,44,45,8,8.60%,23.80%,0.179,0.297,0.249,0.317,0.427,0.322,107,0,3.1,-5.1,1.1
210,Joc Pederson,TEX,85,368,16,47,50,3,11.20%,23.10%,0.202,0.274,0.24,0.338,0.443,0.339,120,-0.8,7.8,-9.9,1.1
211,Luis Rengifo,MIL,86,350,9,37,38,10,6.50%,18.60%,0.136,0.289,0.252,0.307,0.388,0.304,94,0.4,-1.9,0.7,1.1
212,Jose Trevino,CIN,51,200,6,21,22,1,6.00%,15.40%,0.142,0.269,0.249,0.298,0.39,0.3,86,-0.4,-3.7,3.6,1.1
213,Kyle Isbel,KCR,101,382,8,42,39,8,6.40%,19.70%,0.134,0.295,0.249,0.303,0.384,0.3,88,0.7,-4.7,2,1.1
214,Garrett Mitchell,MIL,80,313,9,35,35,9,9.50%,29.00%,0.159,0.318,0.239,0.317,0.397,0.313,101,0.3,0.6,-0.6,1.1
215,Brett Baty,NYM,88,357,14,41,44,4,8.50%,24.50%,0.173,0.297,0.247,0.315,0.42,0.319,108,-0.4,2.9,-4.4,1.1
